Value,en,fr,Disaggregation combinations using this value,Number of indicators
1 to 4 years,1 to 4 years,1 à 4 ans,3,1
10 to 14 years,10 to 14 years,10 à 14 ans,3,1
15-19 years-old,15-19 years-old,15-19 ans,20,1
15-24 years old,15-24 years old,15-24 years old,10,1
15-64 years old,15-64 years old,15-64 years old,10,1
15 to 19 years,15 to 19 years,15 à 19 ans,832,6
15 to 24 years,15 to 24 years,15 à 24 ans,2086,12
15 to 64 years,15 to 64 years,15 à 64 ans,596,2
15 years and over,15 years and over,15 ans et plus,1672,3
16 to 24 years,16 to 24 years,16 à 24 ans,167,1
18 to 24 years,18 to 24 years,18 à 24 ans,194,2
18 to 64 years,18 to 64 years,18 à 64 ans,233,1
20-24 years-old,20-24 years-old,20-24 ans,22,1
20 to 24 years,20 to 24 years,20 à 24 ans,814,6
25-44 years-old,25-44 years-old,25-44 ans,17,1
25-54 years old,25-54 years old,25-54 years old,10,1
25 to 29 years,25 to 29 years,25 à 29 ans,658,4
25 to 34 years,25 to 34 years,25 à 34 ans,553,9
25 to 44 years,25 to 44 years,25 à 44 ans,619,3
25 to 54 years,25 to 54 years,25 à 54 ans,1862,6
25 years and over,25 years and over,25 ans et plus,600,2
25+ years-old,25+ years-old,25+ ans,23,1
30 to 34 years,30 to 34 years,30 à 34 ans,626,4
35 to 39 years,35 to 39 years,35 à 39 ans,587,3
35 to 44 years,35 to 44 years,35 à 44 ans,540,8
40 to 44 years,40 to 44 years,40 à 44 ans,597,3
45 to 49 years,45 to 49 years,45 à 49 ans,601,3
45 to 54 years,45 to 54 years,45 à 54 ans,544,8
45 to 64 years,45 to 64 years,45 à 64 ans,619,3
45 years and over,45 years and over,45 ans et plus,590,2
45+ years-old,45+ years-old,45+ ans,19,1
5 to 9 years,5 to 9 years,5 à 9 ans,3,1
50 to 54 years,50 to 54 years,50 à 54 ans,585,3
55-64 years old,55-64 years old,55-64 years old,10,1
55 to 59 years,55 to 59 years,55 à 59 ans,602,3
55 to 64 years,55 to 64 years,55 à 64 ans,253,6
55 to 65 years,55 to 65 years,55 à 65 ans,168,1
55 years and over,55 years and over,55 ans et plus,1689,3
60 to 64 years,60 to 64 years,60 à 64 ans,598,3
65 to 69 years,65 to 69 years,65 à 69 ans,396,3
65 to 74 years,65 to 74 years,65 à 74 ans,61,3
65 years and older,65 years and older,65 ans et plus,2,1
65 years and over,65 years and over,65 ans et plus,893,7
70 to 74 years,70 to 74 years,70 à 74 ans,3,1
70 years and over,70 years and over,70 ans et plus,217,2
75 to 79 years,75 to 79 years,75 à 79 ans,3,1
75 years and over,75 years and over,75 ans et plus,59,3
80 to 84 years,80 to 84 years,80 à 84 ans,3,1
85 to 89 years,85 to 89 years,85 à 89 ans,3,1
90 years and over,90 years and over,90 ans et plus,3,1
Adults (15-49),Adults (15-49),Adultes (15-49),1,1
All age groups,All age groups,Tous les groupes d’âge,28,1
All ages,All ages,Tous les âges,2,1
Internet users aged 15 to 24 years,Internet users aged 15 to 24 years,Utilisateurs d'Internet âgés de 15 ans à 24 ans,56,1
Internet users aged 25 to 44 years,Internet users aged 25 to 44 years,Utilisateurs d'Internet âgés de 25 ans à 44 ans,56,1
Internet users aged 45 to 64 years,Internet users aged 45 to 64 years,Utilisateurs d'Internet âgés de 45 ans à 64 ans,56,1
Internet users aged 65 years and over,Internet users aged 65 years and over,Utilisateurs d'Internet âgés de 65 ans et plus,56,1
Not stated,Not stated,Non déclaré,3,1
"Total, 15 years and over","Total, 15 years and over","Total, 15 ans et plus",167,4
"Total, age","Total, age","Total, âge",125,1
"Total, Internet users aged 15 years and over","Total, Internet users aged 15 years and over","Total, tous les utilisateurs d'Internet âgés de 15 ans et plus",56,1
Total,Total,Total,168,1
Under 1 year,Under 1 year,Moins d'un an,3,1
Under 18 years,Under 18 years,Moins de 18 ans,233,1
